ID,型号,价格,能源类型,110V/220V/230V电源插座,4G/5G网络,6万公里保养总成本预估,ABS防抱死,AQS空气质量管理系统,AR实景导航,HUD投影尺寸(英寸),K歌功能,NEDC综合油耗(L/100km),OTA升级,OTA版本,USB/Type-C接口数量,USB/Type-C最大充电功率,V2X通讯,VTOL最大对外放电功率,VTOL移动电站功能,VTOV最大对外放电功率,WLTC综合油耗(L/100km),Wi-Fi热点,battery_capacity,displacement,electric_consumption,engine_max_horsepower,fuel_consumption,range_extender_type,上坡辅助(HAC),上市时间,下沉式后排座椅收折,中央安全气囊,中央差速器结构,中央差速器锁止功能,中控下屏幕像素密度（PPI）,中控下屏幕分辨率,中控下屏幕尺寸(英寸),中控台彩色屏幕像素密度（PPI）,中控台彩色屏幕分辨率,中控屏尺寸(英寸),中控屏幕材质,主动刹车,主动安全预警系统,主动式DMS疲劳检测,主动式环境氛围灯,主动闭合式进气格栅,主动降噪,主驾座椅局部调节,主驾座椅整体调节,亚米级高精定位系统,低速四驱,低速行车警示音,供油方式,侧安全气囊,侧安全气帘,侧滑门,信号灯识别,儿童座椅接口(ISOFIX),充电时间(小时),光感天幕,全景天幕遮阳帘,内后视镜功能,内置行车记录仪,制动力分配(EBD/CBC等),制动能量回收系统,刹车辅助(EBA/BA等),前/后扶手,前制动器类型,前向最大探测距离(m),前大灯雨雾模式,前悬挂形式,前排安全气囊,前排座椅功能,前排座椅放平,前排膝部气囊,前桥限滑方式,前电动机最大功率(kW),前电动机最大扭矩(N·m),前车驶离提醒,前轮胎规格尺寸,前轮距(mm),前部行李舱容积(L),前雾灯,前风挡电加热,副驾屏幕分辨率（K）,副驾座椅局部调节,副驾座椅整体调节,副驾驶屏幕像素密度（PPI）,副驾驶屏幕分辨率,副驾驶屏幕尺寸(英寸),副驾驶座垫式气囊,功放最大输出功率(W),匝道自动驶出（入）,单踏板模式,卫星导航系统,厂商,压缩比,原厂ETC,发动机,发动机启停技术,发动机型号,发动机布局形式,发动机最大功率(kW),发动机最大扭矩(N·m),发动机热效率(%),发动机特有技术,发动机电子防盗,变速箱,变速箱描述,变速箱类型,可加热/制冷杯架,可加热喷水嘴,可变悬挂调节,可变转向比系统,可旋转/移动中控屏,可见即可说,后制动器类型,后悬挂形式,后排出风口,后排多媒体控制,后排娱乐屏幕分辨率(K),后排屏幕尺寸(英寸),后排座椅放倒比例,后排座椅电动放倒,后排座椅防下滑气囊,后排杯架,后排正向安全气囊,后排液晶屏,后排独立空调,后排隐私玻璃,后桥限滑方式,后电动机最大功率(kW),后电动机最大扭矩(N·m),后窗玻璃开启,后轮胎规格尺寸,后轮距(mm),后雨刷,后风挡气囊,哨兵（千里眼）模式,四驱类型,地图品牌,坦克掉头,增强现实抬头显示系统(AR-HUD),声纹识别,备胎放置方式,备胎规格,外后视镜功能,多媒体接口,多层隔音玻璃,多指飞屏操控,夜视系统,大灯延时关闭,大灯清洗功能,大灯随动转向(AFS),大灯高度调节,天空声道,天窗类型,女王座椅,安全带未系提示,安全轮胎,官方0—50Km/h加速时间(s),官方百公里加速时间(s),定制选装,宽(mm),导航路况信息展示,导航辅助驾驶,巡航系统,并线辅助,应用商店,座位数(个),座椅布局,座椅扬声器（头枕/肩部）,座椅材质,座椅电动调节,座椅皮质风格,影音系统,循迹倒车,快充接口位置,快充电量(%),情绪识别,感应式后尾门,慢充接口位置,手势控制功能,手机App远程控制,手机互联映射,手机无线充电,手机无线充电最大功率(W),扬声器数量(个),抬头显示系统(HUD),拖挂钩,指纹识别,挡位数,换挡形式,换电支持,排量(L),排量(mL),接近角(°),整体主动转向系统,整备质量(kg),整车保修期限,方向盘功能,方向盘材质,方向盘电动调节,方向盘调节,无框设计车门,无钥匙启动,无钥匙进入,日间行车灯,最低荷电状态燃料消耗量(L/100km)CLTC,最低荷电状态燃料消耗量(L/100km)NEDC,最低荷电状态燃料消耗量(L/100km)WLTC,最低荷电状态燃料消耗量(L/100km)工信部,最大净功率(kW),最大功率(kW),最大功率转速(rpm),最大快充功率(kw),最大扭矩(N·m),最大扭矩转速(rpm),最大爬坡度(%),最大载重质量(kg),最大马力(Ps),最小离地间隙(mm),最小转弯半径,最高车速(km/h),杜比全景声,模拟声浪,每缸气门数(个),毫米波雷达数量(个),气缸排列形式,气缸数(个),气罐容积(L/kg),油箱容积(L),涉水感应系统,液晶仪表分辨率,液晶仪表尺寸(英寸),液晶仪表屏幕像素密度（PPI）,液晶仪表样式,温度分区控制,满载质量(kg),激光雷达品牌,激光雷达数量(个),激光雷达点云数量(万/秒),激光雷达线数(线),灯光投影技术,灯光特色功能,热泵管理系统,燃料形式,燃油标号,牵引力控制(TCS/ASR等),环保标准,电动后尾门,电动后尾门位置记忆,电动吸合尾门,电动吸合门,电动平开/上开车门,电动扰流板,电动机,电动机总功率(kW),电动机总扭矩(N·m),电动机总马力(Ps),电动机描述,电动机最大功率(kW),电动机最大扭矩(N·m),电动车窗,电机布局,电机类型,电池充电,电池充电倍率,电池容量(kWh),电池温度管理系统,电池特色技术,电池类型,电池组质保,电池能量密度(Wh/kg),电磁感应悬挂,电能当量燃料消耗量(L/100km),电芯品牌,疲劳驾驶提示,百公里耗电量(kWh/100km),离去角(°),空气悬挂,空气悬挂类型,空调控制方式,窄路辅助,第三排座椅,第三排座椅功能,第二排小桌板,第二排座椅功能,第二排座椅局部调节,第二排座椅整体调节,第二排独立座椅,系统综合功率(kW),系统综合扭矩(N·m),级别,纯电续航里程(km)CLTC,纯电续航里程(km)NEDC,纯电续航里程(km)WLTC,纯电续航里程(km)工信部,综合续航里程(km)CLTC,综合续航里程(km)NEDC,综合续航里程(km)WLTC,综合续航里程(km)工信部,缸体材料,缸盖材料,老板键,胎压监测系统,自动代客泊车,自动变道辅助,自动大灯,自动泊车入位,自动驻车(AUTOHOLD),自适应远近光,舒适制动,蓝牙/车载电话,蠕行模式,行李舱12V电源接口,行李舱容积(L),行车电脑屏幕,被动行人保护,记忆泊车,语音免唤醒功能,语音分区域唤醒识别功能,语音助手唤醒词,语音识别控制系统,负离子发生器,超声波雷达数量(个),车体结构,车侧脚踏板,车内PM2.5过滤装置,车内中控锁,车内化妆镜,车内摄像头数量(个),车内摄影头像素,车内氛围灯,车内生命体征检测,车内遮阳帘,车内香氛装置,车外摄像头数量(个),车外摄影头像素,车机系统内存(GB),车机系统存储(GB),车窗一键升降,车窗防夹手功能,车联网,车身稳定系统(ESP/DSC等),车身结构,车载冰箱,车载冰箱功能,车载智能系统,车载智能芯片,车载电视,车载空气净化器,车辆召唤功能,车道保持辅助系统,车道居中保持,车门开启方式,车门数(个),车门滑轨,车顶行李架,转向类型,转向辅助灯,轴距(mm),辅助驾驶操作系统,辅助驾驶级别,辅助驾驶芯片,辅助驾驶芯片算力(TOPS),运动外观套件,运动风格座椅,近光灯,进气形式,远光灯,远程启动,连续性语音识别,道路交通标识识别,道路救援服务,遥控移动车辆,遥控钥匙类型,配气机构,铝合金轮毂,长(mm),长x宽x高(mm),陡坡缓降(HDC),隐藏式门把手,雨量感应式雨刷,零重力座椅,面部识别,音响品牌,音响布局,风阻系数(Cd),首任车主保修期限,驱动方式,驱动电机数,驻车制动类型,驻车雷达,驾驶模式选择,驾驶辅助影像,高(mm),高压快充平台,高精度地图,魔毯智能悬挂
31,MG5 2025款 180DVVT 全球抢先版,8.19万万,汽油,,,3804.0元, 标配,,,,,,,, 前排3个,,,,,,6.38,,,N/A,,N/A,N/A,,,2024.09,,,,,,,,,, 10.25,,,,,,,, 头枕, 前后移动,,,,缸内直喷, 前排,,,, 标配,,,,,, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,205/55 R16,1570,,,,, 头枕, 前后移动,,,,,,,, 标配,上汽集团,,,1.5L 129马力 L4,,15FCD,横置,,,,, 标配,CVT无级变速,CVT无级变速,无级变速箱(CVT),,,,,,,实心盘式,纵臂扭转梁式非独立悬挂,,,,, 整排放倒,,,,,,,,,,,,205/55 R16,1574,,,,,,,,,, 非全尺寸, 电动调节, USB/Type-C,,,, 标配,,, 标配,,,, 标配,,,,可选外观、内饰、轮毂、制动器,1842, 标配,, 定速巡航,,,5,,, 仿皮,,,,,,,,,,,, HUAWEI HiCar,,, 4,,,,无级变速, 机械挡把,,1.5,1495,,,1260,3年或10万公里, 多功能控制, 塑料,, 上下,, 标配, 主驾驶位,,,,,,90,95,6000,,158,4500,,,129,,,180,,,4,,L,4,,50.0,,,,, 全液晶,,1699,,,,,,,,汽油,92#, 标配,国VI b,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,, 彩色,,,, 主驾驶,, 标配,, 3,承载式,, 标配, 标配,,,,,,,, 1,,,, 主驾驶位, 标配,, 标配,三厢车,,,,,,,,,,平开门,4,,,电动助力,,2680,,,,,,, LED,自然吸气, LED,,,, 标配,, 智能遥控钥匙,DOHC, 标配,4715,4715x1842x1473,,,,,,,,,,前置前驱,,电子驻车, 后,, 倒车影像,1473,,,
31,MG5 2025款 180DVVT 全球豪华版,8.59万万,汽油,, 4G,3804.0元, 标配,,,,,,,, 前排3个,,,,,,6.38,,,N/A,,N/A,N/A,,,2024.09,,,,,,,,,, 12.3,,,,,,,, 头枕, 前后移动,,,,缸内直喷, 前排,,,, 标配,,,,, 标配, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,205/55 R16,1570,,,,, 头枕, 前后移动,,,,,,,, 标配,上汽集团,,,1.5L 129马力 L4,,15FCD,横置,,,,, 标配,CVT无级变速,CVT无级变速,无级变速箱(CVT),,,,,,,实心盘式,纵臂扭转梁式非独立悬挂, 标配,,,, 整排放倒,,,,,,,,,,,,205/55 R16,1574,,,,,,,,,, 非全尺寸, 电动调节, USB/Type-C,,,, 标配,,, 标配,, 单天窗,, 标配,,,,可选外观、内饰、轮毂、制动器,1842, 标配,, 定速巡航,,,5,,, 仿皮,,,,,,,,,,, 车辆监控,,,, 4,,,,无级变速, 机械挡把,,1.5,1495,,,1260,3年或10万公里, 多功能控制, 塑料,, 上下,, 标配, 主驾驶位,,,,,,90,95,6000,,158,4500,,,129,,,180,,,4,,L,4,,50.0,,,,, 全液晶,,1699,,,,,,,,汽油,92#, 标配,国VI b,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,, 彩色,,,, 主驾驶,你好斑马, 标配,, 3,承载式,, 标配, 标配, 主驾驶位+无照明,,,,,,, 4,,,, 主驾驶位, 标配, 标配, 标配,三厢车,,, 斑马维纳斯,,,,,,,平开门,4,,,电动助力,,2680,,,,,,, LED,自然吸气, LED,, 标配,, 标配,, 智能遥控钥匙,DOHC, 标配,4715,4715x1842x1473,,,,,,,,,,前置前驱,,电子驻车, 后,, 倒车影像,1473,,,
31,MG5 2025款 300TGI 全球旗舰版,9.59万万,汽油,, 4G,3804.0元, 标配,,,,,,,, 前排3个,,,,,,6.45,,,N/A,,N/A,N/A,, 标配,2024.09,,,,,,,,,, 12.3,,,,,,,, 头枕, 前后移动,,,,缸内直喷, 前排,,,, 标配,,,,, 标配, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,215/50 R17,1559,,,,, 头枕, 前后移动,,,,,,,, 标配,上汽集团,,,1.5T 181马力 L4,,15C4E,横置,,,,, 标配,7挡双离合,7挡双离合,湿式双离合变速箱（DCT）,,,,,,,实心盘式,纵臂扭转梁式非独立悬挂, 标配,,,, 整排放倒,,,,,,,,,,,,215/50 R17,1563,,,,,,,,,, 非全尺寸, 电动调节, USB/Type-C,,,, 标配,,, 标配,, 单天窗,, 标配,,,,可选外观、内饰、轮毂、制动器,1842, 标配,, 定速巡航,,,5,,, 仿皮, 主驾驶位,,,,,,,,,, 车辆监控,,,, 4,,,,7,,,1.5,1490,,,1315,3年或10万公里, 多功能控制, 塑料,, 上下,, 标配, 主驾驶位,,,,,,133,133,5600,,285,1500-4000,,,181,,,200,,,4,,L,4,,50.0,,,,, 全液晶,,1754,,,,,,,,汽油,92#, 标配,国VI b,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,, 彩色,,,, 主驾驶,你好斑马, 标配,, 3,承载式,, 标配, 标配, 主驾驶位+无照明,,,,,,, 4,,,, 主驾驶位, 标配, 标配, 标配,三厢车,,, 斑马维纳斯,,,,,,,平开门,4,,,电动助力,,2680,,,,,,, LED,涡轮增压, LED,, 标配,, 标配,, 智能遥控钥匙,DOHC, 标配,4715,4715x1842x1480,,,,,,,,,,前置前驱,,电子驻车, 后,, 倒车影像,1480,,,
31,MG5 2023款 180DVVT 手动青春风尚版,6.79万万,汽油,,,3804.0元, 标配,,,,,,,, 前排2个,,,,,,5.98,,,N/A,,N/A,N/A,,,2023.05,,,,,,,,,, 10.25,,,,,,,, 头枕, 前后移动,,,,缸内直喷,,,,, 标配,,,,,, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,205/55 R16,1570,,,,, 头枕, 前后移动,,,,,,,,,上汽集团,,,1.5L 129马力 L4,,15FCD,横置,,,,, 标配,5挡手动,5挡手动,手动变速箱(MT),,,,,,,实心盘式,纵臂扭转梁式非独立悬挂,,,,, 整排放倒,,,,,,,,,,,,205/55 R16,1574,,,,,,,,,, 非全尺寸, 电动调节, USB/Type-C,,,, 标配,,, 标配,,,, 标配,,,,可选外观、内饰、轮毂、制动器,1842,,, 定速巡航 图示,,,5,,, 织物,,,,,,,,,,,, HUAWEI HiCar,,, 4,,,,5, 机械挡把,,1.5,1498,,,1205,3年或10万公里, 多功能控制, 塑料,, 上下,, 标配, 主驾驶位,,,,,,95,95,6000,,158,4500,,,129,,,185,,,4,,L,4,,50.0,,, 3.5,,,,1644,,,,,,,,汽油,92#, 标配,国VI b,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,,,,, 标配,,,, 彩色,,,, 主驾驶,, 标配,, 3,承载式,, 标配, 标配,,,,,,,, 1,,,, 主驾驶位, 标配,, 标配,三厢车,,,,,,,,,,平开门,4,,,电动助力,,2680,,,,,,, LED,自然吸气, LED,,,,,, 智能遥控钥匙,DOHC, 标配,4675,4675x1842x1473,,,,,,,,,,前置前驱,,手刹, 后,, 倒车影像 图示,1473,,,
32,MG6 2023款 1.5T 经典版,10.98万万,汽油,,,3696.0元, 标配,,,,,6.2,,, 前排2个,,,,,,6.63,,,N/A,,N/A,N/A,, 标配,2023.04,,,,,,,,,, 10.1,,,,,,,, 头枕, 前后移动,,,,缸内直喷,,,,, 标配,,,,,, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,225/45 R18,1562,,,,, 头枕, 前后移动,,,,,,,,,上汽集团,,,1.5T 181马力 L4,,15C4E,,,,,, 标配,7挡双离合,7挡双离合,湿式双离合变速箱（DCT）,,,,,,,实心盘式,多连杆式独立悬挂, 标配,,,, 40:60,,,,,,,,,,,,225/45 R18,1567,,,,,,,,,, 非全尺寸, 电动调节 图示, USB/Type-C,,,, 标配,,, 标配,, 单天窗,, 标配,,,7.83,可选外观、内饰、轮毂、制动器,1848,,,,,,5,,, 仿皮,,,,,,,,,,,, CarPlay,,, 6,,,,7,,,1.5,1490,,,1370,3年或10万公里, 多功能控制, 真皮,, 上下+前后,, 标配 图示, 前排 图示, 标配,,,,,,133,5600,,285,1500-4000,,,181,,,210,,,4,,L,4,,50.0,,,,, 非全液晶,,1778,,,,,,,,汽油,92#, 标配,国VI b,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,499-1383, 单色,,,, 主驾驶,, 标配,, 4,承载式,, 标配, 标配, 主驾驶位+有照明,,,,,,, 1,,,, 主驾驶位, 标配,, 标配,掀背车,,,,,,,,,,平开门,5,,,电动助力,,2715,,,,,,, LED,涡轮增压, LED,,,,,, 智能遥控钥匙,DOHC, 标配,4704,4704x1848x1466,,,,,,,,,,前置前驱,,电子驻车, 后,, 倒车影像 图示,1466,,,
32,MG6 2023款 1.5T XLINE猎鲨版,12.38万万,汽油,, 4G,3696.0元, 标配,,,,,,,, 前排2个,,,,,,,,,N/A,,N/A,N/A,, 标配,2023.11,,,,,,,,,, 10.1,,,,,,,, 头枕, 前后移动,,,,缸内直喷, 前排, 标配,,, 标配,,,,,, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,225/45 R18,1562,,,,, 头枕, 前后移动,,,,,,,, 标配,上汽集团,,,1.5T 181马力 L4,,15C4E,,,,,, 标配,7挡双离合,7挡双离合,湿式双离合变速箱（DCT）,,,,,,,实心盘式,多连杆式独立悬挂, 标配,,,, 40:60,,, 标配,,,, 标配,,,,,225/45 R18,1567,,,,,,,,,, 非全尺寸, 电动调节, USB/Type-C, 前排,,, 标配,,, 标配,, 单天窗,, 标配,,,,可选外观、内饰、轮毂、制动器,1848, 标配,, 定速巡航,,,5,,, 仿皮, 主驾驶位,,,,,,,,,,, CarPlay, 标配,, 6,,,,7,,,1.5,1490,,,1370,3年或10万公里, 多功能控制,,, 上下+前后,, 标配, 前排, 标配,,,,,,133,5600,,285,1500-4000,,,181,,,210,,,4,,L,4,,50.0,,, 12.3,, 全液晶,,1811,,,,,,,,汽油,92#, 标配,国VI b,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,499-1383, 彩色,,,, 主驾驶,, 标配,, 4,承载式,, 标配, 标配, 主驾驶位+有照明,,,,,,, 1,,,, 全车, 标配, 标配, 标配,掀背车,,,,,,,,,,平开门,5,,,电动助力,,2715,,,,, 标配, 标配, LED,涡轮增压, LED,,,,,, 智能遥控钥匙,DOHC, 标配,4738,4738x1848x1456,,,,,,,,,,前置前驱,,电子驻车, 后, 运动, 倒车影像,1456,,,
32,MG6 2021款 Pro 1.5T 自动领潮豪华版,11.58万万,汽油,,,3696.0元, 标配,,,,,6.2,,2021年8月版本, 前排2个,,,,,,,,,N/A,,N/A,N/A,, 标配,2021.08,,,,,,,,,, 10.1,,,,,,,, 头枕, 前后移动,,,,缸内直喷, 前排,,,, 标配,,,,,, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,215/50 R17,1562,,,,, 头枕, 前后移动,,,,,,,,,上汽集团,,,1.5T 181马力 L4,,15C4E,,,,,, 标配,7挡双离合,7挡双离合,湿式双离合变速箱（DCT）,,,,,,,实心盘式,多连杆式独立悬挂, 标配,,,, 40:60,,, 标配,,,,,,,,,215/50 R17,1567,,,,,,,,,, 非全尺寸, 电动调节 图示, USB/Type-C, 前排,,, 标配,,, 标配,, 单天窗,, 标配,,,7.83,可选外观、内饰、轮毂、制动器,1848,,, 定速巡航 图示,,,5,,, 仿皮, 主驾驶位,,,,,,,,,,, CarPlay,,, 6,,,,7,,,1.5,1490,,,1335,3年或10万公里, 多功能控制, 真皮,, 上下+前后,, 标配 图示, 前排 图示, 标配,,,,,,133,5600,,285,1500-4000,,,181,,,210,,,4,,L,4,,50.0,,, 12.3,, 全液晶,,1778,,,,,,,,汽油,92#, 标配,国VI,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,499-1383, 彩色,,,, 主驾驶,, 标配,, 4,承载式,, 标配, 标配, 主驾驶位+有照明,,,,,,, 1,,,, 全车, 标配,, 标配,掀背车,,,,,,,,,,平开门,5,,,电动助力,,2715,,,,,,, LED,涡轮增压, LED,,,,,, 智能遥控钥匙,DOHC, 标配,4727,4727x1848x1466,,,,,,,,,,前置前驱,,电子驻车, 后,, 倒车影像 图示,1466,,,
32,MG6 2021款 Pro 1.5T 自动Trophy豪华版,12.38万万,汽油,,,3696.0元, 标配,,,,,6.2,,2021年8月版本, 前排2个,,,,,,,,,N/A,,N/A,N/A,, 标配,2021.08,,,,,,,,,, 10.1,,,,,,,,, 前后移动,,,,缸内直喷, 前排, 标配,,, 标配,,,,,, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,225/45 R18,1562,,,,,, 前后移动,,,,,,,,,上汽集团,,,1.5T 181马力 L4,,15C4E,,,,,, 标配,7挡双离合,7挡双离合,湿式双离合变速箱（DCT）,,,,,,,实心盘式,多连杆式独立悬挂, 标配,,,, 40:60,,, 标配,,,,,,,,,225/45 R18,1567,,,,,,,,,, 非全尺寸, 电动调节 图示, USB/Type-C, 前排,,, 标配,,, 标配,, 单天窗,, 标配,,,7.83,可选外观、内饰、轮毂、制动器,1848,,, 定速巡航 图示,,,5,,, 仿皮, 主驾驶位,,,,,,,,,,, CarPlay, 标配 图示,, 6,,,,7,,,1.5,1490,,,1335,3年或10万公里, 多功能控制, 真皮,, 上下+前后,, 标配 图示, 前排 图示, 标配,,,,,,133,5600,,285,1500-4000,,,181,,,210,,,4,,L,4,,50.0,,, 12.3,, 全液晶,,1778,,,,,,,,汽油,92#, 标配,国VI,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 手动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,499-1383, 彩色,,,, 主驾驶,, 标配,, 4,承载式,, 标配, 标配, 主驾驶位+有照明,,,,,,, 1,,,, 全车, 标配,, 标配,掀背车,,,,,,,,,,平开门,5,,,电动助力,,2715,,,,, 标配, 标配, LED,涡轮增压, LED,,,,,, 智能遥控钥匙,DOHC, 标配,4727,4727x1848x1470,,,,,,,,,,前置前驱,,电子驻车, 后, 运动, 倒车影像 图示,1470,,,
32,MG6 2021款 Pro 1.5T 自动Trophy旗舰版,13.38万万,汽油,, 4G,3696.0元, 标配,, 标配,,,6.2, 标配,2021年8月版本, 前排2个,,,,,,,,,N/A,,N/A,N/A,, 标配,2021.08,,,,,,,,,, 10.1,,,,,,,,, 前后移动,,,,缸内直喷, 前排, 标配,,, 标配,,,,, 标配, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位,,,,,,,,225/45 R18,1562,,,,,, 前后移动,,,,,,,, 标配,上汽集团,,,1.5T 181马力 L4,,15C4E,,,,,, 标配,7挡双离合,7挡双离合,湿式双离合变速箱（DCT）,,,,,,,实心盘式,多连杆式独立悬挂, 标配,,,, 40:60,,, 标配,,,,,,,,,225/45 R18,1567,,,,,,,,,, 非全尺寸, 电动调节 图示, USB/Type-C, 前排,,, 标配,,, 标配,, 单天窗,, 标配,,,7.83,可选外观、内饰、轮毂、制动器,1848, 标配,, 定速巡航 图示,,,5,,, 仿皮, 主驾驶位,,,,,,,,,, 远程控制,, 标配 图示,, 9,,,,7,,,1.5,1490,,,1335,3年或10万公里, 多功能控制,,, 上下+前后,, 标配 图示, 前排 图示, 标配,,,,,,133,5600,,285,1500-4000,,,181,,,210,,,4,,L,4,,50.0,,, 12.3,, 全液晶, 双区空调,1778,,,,,,,,汽油,92#, 标配,国VI,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,,,,,,, 自动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配,,, 标配,,,499-1383, 彩色,,,, 主驾驶,, 标配, 标配, 4,承载式,, 标配, 标配, 主驾驶位+有照明,,,,,,, 5,,,, 全车, 标配, 标配, 标配,掀背车,,,,,, 标配,,,,平开门,5,,,电动助力,,2715,,,,, 标配, 标配, LED,涡轮增压, LED, 标配, 标配,, 标配 图示,, 智能遥控钥匙,DOHC, 标配,4727,4727x1848x1470,,,,,, BOSE,,,,前置前驱,,电子驻车, 后, 运动, 倒车影像,1470,,,
32,MG6 2021款 Pro 1.5T 自动Trophy智驾旗舰版,13.98万万,汽油,, 4G,3696.0元, 标配,, 标配,,,6.2, 标配,2021年8月版本, 前排2个,,,,,,,,,N/A,,N/A,N/A,, 标配,2021.08,,,,,,,,,, 10.1,, 标配, 车道偏离预警,,,,,, 前后移动,,,,缸内直喷, 前排, 标配,,, 标配,,,, 自动防眩目, 标配, 标配,, 标配, 前排,通风盘式,,,麦弗逊式独立悬挂, 主驾驶位, 加热,,,,,,,225/45 R18,1562,,,,,, 前后移动,,,,,,,, 标配,上汽集团,,,1.5T 181马力 L4,,15C4E,,,,,, 标配,7挡双离合,7挡双离合,湿式双离合变速箱（DCT）,,,,,,,实心盘式,多连杆式独立悬挂, 标配,,,, 40:60,,, 标配,,,,,,,,,225/45 R18,1567,,,,,,,,,, 非全尺寸, 电动调节 图示, USB/Type-C, 前排,,, 标配,,, 标配,, 单天窗,, 标配,,,7.83,可选外观、内饰、轮毂、制动器,1848, 标配,, 定速巡航, 标配,,5,,, 仿皮, 主驾驶位,,,,,,,,,, 远程控制,, 标配 图示,, 9,,,,7,,,1.5,1490,,,1335,3年或10万公里, 多功能控制,,, 上下+前后,, 标配 图示, 前排 图示, 标配,,,,,,133,5600,,285,1500-4000,,,181,,,210,,,4,,L,4,,50.0,,, 12.3,, 全液晶, 双区空调,1778,,,,,,,,汽油,92#, 标配,国VI,,,,,,,,,,,,,, 前排,,,,,,,,,,,,,, 标配,,,,, 自动,,,,,,,,,,,紧凑型车,,,,,,,,,铝合金,铝合金,, 胎压显示,,, 标配,, 标配, 标配,, 标配,,,499-1383, 彩色,,,, 主驾驶,, 标配, 标配, 4,承载式,, 标配, 标配, 主驾驶位+有照明,,,,,,, 6,,,, 全车, 标配, 标配, 标配,掀背车,,,,,, 标配,, 标配,,平开门,5,,,电动助力,,2715,, L2级,,, 标配, 标配, LED,涡轮增压, LED, 标配, 标配, 标配, 标配 图示,, 智能遥控钥匙,DOHC, 标配,4727,4727x1848x1470,,, 标配,,, BOSE,,,,前置前驱,,电子驻车, 后, 运动, 倒车影像,1470,,,
